Entry	Gene Names	Protein names	Subcellular location [CC]
Q9NPB9	ACKR4 CCBP2 CCR11 CCRL1 VSHK1	Atypical chemokine receptor 4 (C-C chemokine receptor type 11) (C-C CKR-11) (CC-CKR-11) (CCR-11) (CC chemokine receptor-like 1) (CCRL1) (CCX CKR)	SUBCELLULAR LOCATION: Early endosome {ECO:0000269|PubMed:23341447}. Recycling endosome {ECO:0000269|PubMed:23341447}. Cell membrane {ECO:0000269|PubMed:23341447}; Multi-pass membrane protein {ECO:0000269|PubMed:23341447}. Note=Predominantly localizes to endocytic vesicles, and upon stimulation by the ligand is internalized via caveolae. Once internalized, the ligand dissociates from the receptor, and is targeted to degradation while the receptor is recycled back to the cell membrane.
Q9NPC1	LTB4R2 BLT2R BLTR2	Leukotriene B4 receptor 2 (LTB4-R 2) (LTB4-R2) (LTB4 receptor JULF2) (Leukotriene B4 receptor BLT2) (Seven transmembrane receptor BLTR2)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q9NPI9	KCNJ16	Inward rectifier potassium channel 16 (Inward rectifier K(+) channel Kir5.1) (Potassium channel, inwardly rectifying subfamily J member 16)	SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:24561201}; Multi-pass membrane protein. Basolateral cell membrane {ECO:0000269|PubMed:24561201}. Note=In kidney distal convoluted tubules, located in the basolateral membrane in the presence of KCNJ10. {ECO:0000269|PubMed:24561201}.
Q9NQA5	TRPV5 ECAC1	Transient receptor potential cation channel subfamily V member 5 (TrpV5) (Calcium transport protein 2) (CaT2) (Epithelial calcium channel 1) (ECaC) (ECaC1) (Osm-9-like TRP channel 3) (OTRPC3)	SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000269|PubMed:18768590}; Multi-pass membrane protein {ECO:0000269|PubMed:18768590}. Note=Colocalized with S100A10 and ANAX2 along the apical domain of kidney distal tubular cells (By similarity). The expression of the glycosylated form in the cell membrane is increased in the presence of WNK3 (PubMed:18768590). {ECO:0000250|UniProtKB:P69744, ECO:0000269|PubMed:18768590}.
Q9NQW8	CNGB3	Cyclic nucleotide-gated channel beta-3 (CNG channel beta-3) (Cone photoreceptor cGMP-gated channel subunit beta) (Cyclic nucleotide-gated cation channel beta-3) (Cyclic nucleotide-gated cation channel modulatory subunit)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12815043}; Multi-pass membrane protein {ECO:0000255}.
Q9NR82	KCNQ5	Potassium voltage-gated channel subfamily KQT member 5 (KQT-like 5) (Potassium channel subunit alpha KvLQT5) (Voltage-gated potassium channel subunit Kv7.5)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10787416, ECO:0000269|PubMed:11159685}; Multi-pass membrane protein {ECO:0000255}.
Q9NSA2	KCND1	A-type voltage-gated potassium channel KCND1 (Potassium voltage-gated channel subfamily D member 1) (Shal-type potassium channel KCND1) (Voltage-gated potassium channel subunit Kv4.1)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q9NZV8}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q9NZV8}.
Q9NT99	LRRC4B LRIG4	Leucine-rich repeat-containing protein 4B (Netrin-G3 ligand) (NGL-3)	SUBCELLULAR LOCATION: Membrane; Single-pass membrane protein. Presynaptic cell membrane {ECO:0000250}.
Q9NTQ9	GJB4	Gap junction beta-4 protein (Connexin-30.3) (Cx30.3)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q02738}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q02738}. Cell junction, gap junction {ECO:0000250|UniProtKB:Q02738}. Note=Colocalizes with GJB2 at gap junction plaques in the cochlea. {ECO:0000250|UniProtKB:Q02738}.
Q9NX52	RHBDL2	Rhomboid-related protein 2 (RRP2) (EC 3.4.21.105) (Rhomboid-like protein 2) [Cleaved into: Rhomboid-related protein 2, N-terminal fragment (NTF); Rhomboid-related protein 2, C-terminal fragment (CTF)]	SUBCELLULAR LOCATION: [Rhomboid-related protein 2, C-terminal fragment]: Cell membrane {ECO:0000269|PubMed:19850051}; Multi-pass membrane protein {ECO:0000255}.
Q9NYQ7	CELSR3 CDHF11 EGFL1 FMI1 KIAA0812 MEGF2	Cadherin EGF LAG seven-pass G-type receptor 3 (Cadherin family member 11) (Epidermal growth factor-like protein 1) (EGF-like protein 1) (Flamingo homolog 1) (hFmi1) (Multiple epidermal growth factor-like domains protein 2) (Multiple EGF-like domains protein 2)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q9NZD1	GPRC5D	G-protein coupled receptor family C group 5 member D	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11311935}; Multi-pass membrane protein {ECO:0000269|PubMed:11311935}.
Q9P121	NTM IGLON2 NT UNQ297/PRO337	Neurotrimin (hNT) (IgLON family member 2)	SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor, GPI-anchor.
Q9UBN1	CACNG4	Voltage-dependent calcium channel gamma-4 subunit (Neuronal voltage-gated calcium channel gamma-4 subunit) (Transmembrane AMPAR regulatory protein gamma-4) (TARP gamma-4)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:21127204}; Multi-pass membrane protein {ECO:0000250}.
Q9UHI7	SLC23A1 SVCT1 YSPL3	Solute carrier family 23 member 1 (Na(+)/L-ascorbic acid transporter 1) (Sodium-dependent vitamin C transporter 1) (hSVCT1) (Yolk sac permease-like molecule 3)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10631088, ECO:0000269|PubMed:19379732, ECO:0000269|PubMed:36749388}; Multi-pass membrane protein {ECO:0000269|PubMed:19379732}.
Q9UIA0	CYTH4 CYT4 PSCD4	Cytohesin-4 (PH, SEC7 and coiled-coil domain-containing protein 4)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:17398095}; Peripheral membrane protein {ECO:0000269|PubMed:17398095}.
Q9UIQ6	LNPEP OTASE	Leucyl-cystinyl aminopeptidase (Cystinyl aminopeptidase) (EC 3.4.11.3) (Insulin-regulated membrane aminopeptidase) (Insulin-responsive aminopeptidase) (IRAP) (Oxytocinase) (OTase) (Placental leucine aminopeptidase) (P-LAP) [Cleaved into: Leucyl-cystinyl aminopeptidase, pregnancy serum form]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11389728}; Single-pass type II membrane protein {ECO:0000269|PubMed:11389728}. Note=In brain only the membrane-bound form is found. The protein resides in intracellular vesicles together with GLUT4 and can then translocate to the cell surface in response to insulin and/or oxytocin. Localization may be determined by dileucine internalization motifs, and/or by interaction with tankyrases.; SUBCELLULAR LOCATION: [Leucyl-cystinyl aminopeptidase, pregnancy serum form]: Secreted. Note=During pregnancy serum levels are low in the first trimester, rise progressively during the second and third trimester and decrease rapidly after parturition.
Q9UKQ2	ADAM28 ADAM23 MDCL	Disintegrin and metalloproteinase domain-containing protein 28 (ADAM 28) (EC 3.4.24.-) (Epididymal metalloproteinase-like, disintegrin-like, and cysteine-rich protein II) (eMDC II) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein L) (MDC-L)	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted.
Q9ULL4	PLXNB3 KIAA1206 PLXN6	Plexin-B3	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15218527, ECO:0000269|PubMed:16122393}; Single-pass type I membrane protein {ECO:0000269|PubMed:15218527, ECO:0000269|PubMed:16122393}. Note=Colocalizes with RIT2/RIN at the plasma membrane.
Q9ULV1	FZD4	Frizzled-4 (Fz-4) (hFz4) (FzE4) (CD antigen CD344)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:30135577}; Multi-pass membrane protein {ECO:0000255}.
Q9ULY5	CLEC4E CLECSF9 MINCLE UNQ218/PRO244	C-type lectin domain family 4 member E (C-type lectin superfamily member 9) (Macrophage-inducible C-type lectin) (MINCLE)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18490740, ECO:0000305|PubMed:24101491}; Single-pass type II membrane protein {ECO:0000305}. Cell projection, phagocytic cup {ECO:0000250|UniProtKB:Q9R0Q8}.
Q9UM01	SLC7A7	Y+L amino acid transporter 1 (Monocyte amino acid permease 2) (MOP-2) (Solute carrier family 7 member 7) (y(+)L-type amino acid transporter 1) (Y+LAT1) (y+LAT-1)	SUBCELLULAR LOCATION: Basolateral cell membrane {ECO:0000269|PubMed:15756301}; Multi-pass membrane protein {ECO:0000255}.
Q9UMZ3	PTPRQ	Phosphatidylinositol phosphatase PTPRQ (EC 3.1.3.67) (EC 3.1.3.86) (EC 3.1.3.95) (Receptor-type tyrosine-protein phosphatase Q) (PTP-RQ) (R-PTP-Q)	SUBCELLULAR LOCATION: Cell projection, stereocilium {ECO:0000250|UniProtKB:P0C5E4}. Apical cell membrane; Single-pass type I membrane protein {ECO:0000255}. Basal cell membrane {ECO:0000269|PubMed:12837292}; Single-pass type I membrane protein {ECO:0000255}. Note=Detected at the stereocilium base and at the apical cell membrane in mature hair cells (By similarity). Forms ring-like structures in the stereocilium taper region (By similarity). Detected at the basal cell membrane in fetal kidney podocytes (PubMed:12837292). {ECO:0000250|UniProtKB:P0C5E4, ECO:0000269|PubMed:12837292}.
Q9UN73	PCDHA6 CNRS2	Protocadherin alpha-6 (PCDH-alpha-6)	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000305}.
Q9UN74	PCDHA4	Protocadherin alpha-4 (PCDH-alpha-4)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:O88689}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:O88689}. Note=Detected in dendrites and synapses. {ECO:0000250|UniProtKB:O88689}.
Q9UN88	GABRQ	Gamma-aminobutyric acid receptor subunit theta (GABA(A) receptor subunit theta) (GABAAR subunit theta)	SUBCELLULAR LOCATION: Postsynaptic cell membrane; Multi-pass membrane protein {ECO:0000255}. Cell membrane; Multi-pass membrane protein {ECO:0000255}.
Q9UPX6	MINAR1 KIAA1024 UBTOR	Major intrinsically disordered Notch2-binding receptor 1 (Membrane integral NOTCH2-associated receptor 1) (Ubiquitination and mTOR signaling protein)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:29329397, ECO:0000269|PubMed:30080879}; Single-pass type IV membrane protein {ECO:0000269|PubMed:30080879}.
Q9UPY5	SLC7A11	Cystine/glutamate transporter (Amino acid transport system xc-) (Calcium channel blocker resistance protein CCBR1) (Solute carrier family 7 member 11) (xCT)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11417227, ECO:0000269|PubMed:15151999, ECO:0000269|PubMed:34880232}; Multi-pass membrane protein {ECO:0000269|PubMed:15151999}. Cell projection, microvillus membrane {ECO:0000269|PubMed:34120018}; Multi-pass membrane protein {ECO:0000255}. Note=Localized to the microvillous membrane of the placental syncytiotrophoblast. {ECO:0000269|PubMed:34120018}.
Q9UQ52	CNTN6	Contactin-6 (Neural recognition molecule NB-3) (hNB-3)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Lipid-anchor, GPI-anchor {ECO:0000250}.
Q9Y226	SLC22A13 OCTL1 ORCTL3	Solute carrier family 22 member 13 (Organic anion transporter 10) (OAT10) (Organic cation transporter-like 3) (ORCTL-3) (ORCTL3)	SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000269|PubMed:18411268, ECO:0000269|PubMed:31780526, ECO:0000269|PubMed:35144162, ECO:0000269|PubMed:35462902}; Multi-pass membrane protein {ECO:0000305}.
Q9Y2C5	SLC17A4	Probable small intestine urate exporter (Solute carrier family 17 member 4)	SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000269|PubMed:22460716}; Multi-pass membrane protein {ECO:0000255}. Note=Apical in the intestinal brush border. {ECO:0000269|PubMed:22460716}.
Q9Y4E1	WASHC2C FAM21C KIAA0592 VPEF	WASH complex subunit 2C (Vaccinia virus penetration factor) (VPEF)	SUBCELLULAR LOCATION: Early endosome membrane {ECO:0000269|PubMed:20498093}. Cell membrane. Note=Partially colocalizes with RAB11A, a recycling endosome marker. Associates with lipid raft microdomains on the plasma membrane.
Q9Y5F1	PCDHB12	Protocadherin beta-12 (PCDH-beta-12)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.
Q9Y5I7	CLDN16 PCLN1	Claudin-16 (Paracellin-1) (PCLN-1)	SUBCELLULAR LOCATION: Cell junction, tight junction {ECO:0000269|PubMed:10390358, ECO:0000269|PubMed:14628289, ECO:0000269|PubMed:16234325, ECO:0000269|PubMed:16528408, ECO:0000269|PubMed:18188451, ECO:0000269|PubMed:28028216}. Cell membrane {ECO:0000269|PubMed:10390358, ECO:0000269|PubMed:14628289, ECO:0000269|PubMed:16234325, ECO:0000269|PubMed:16528408, ECO:0000269|PubMed:18188451, ECO:0000269|PubMed:28028216}; Multi-pass membrane protein {ECO:0000255}. Note=Cotrafficks with CLDN19 from ER to tight junctions. {ECO:0000269|PubMed:18188451}.
Q9Y5X5	NPFFR2 GPR74 NPFF2 NPGPR	Neuropeptide FF receptor 2 (G-protein coupled receptor 74) (G-protein coupled receptor HLWAR77) (Neuropeptide G-protein coupled receptor)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11024015}; Multi-pass membrane protein {ECO:0000255}.
Q9Y5Y9	SCN10A	Sodium channel protein type 10 subunit alpha (Peripheral nerve sodium channel 3) (PN3) (hPN3) (Sodium channel protein type X subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.8)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:D0E0C2}; Multi-pass membrane protein {ECO:0000250|UniProtKB:D0E0C2}. Note=It can be translocated to the cell membrane through association with S100A10. {ECO:0000250}.
Q9Y6H8	GJA3	Gap junction alpha-3 protein (Connexin-46) (Cx46)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:30044662}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q9TU17}. Cell junction, gap junction {ECO:0000269|PubMed:30044662}.
Q9Y6J6	KCNE2	Potassium voltage-gated channel subfamily E member 2 (MinK-related peptide 1) (MiRP1) (Minimum potassium ion channel-related peptide 1) (Potassium channel subunit beta MiRP1)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20533308}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:P63161}. Apical cell membrane {ECO:0000250|UniProtKB:Q9D808}; Single-pass membrane protein {ECO:0000255}. Note=Colocalizes with KCNB1 at the plasma membrane. {ECO:0000250|UniProtKB:P63161}.
Q9Y6L6	SLCO1B1 LST1 OATP1B1 OATP2 OATPC SLC21A6	Solute carrier organic anion transporter family member 1B1 (SLCO1B1) (Liver-specific organic anion transporter 1) (LST-1) (OATP-C) (Organic anion transporter SLC21A6) (Sodium-independent organic anion-transporting polypeptide 2) (OATP-2) (Solute carrier family 21 member 6)	SUBCELLULAR LOCATION: Basolateral cell membrane {ECO:0000269|PubMed:12196548}; Multi-pass membrane protein {ECO:0000269|PubMed:12196548}. Basal cell membrane {ECO:0000269|PubMed:35307651}; Multi-pass membrane protein {ECO:0000305}. Note=Detected in basolateral membranes of hepatocytes (PubMed:12196548). Localized to the basal membrane of Sertoli cells (PubMed:35307651). {ECO:0000269|PubMed:12196548, ECO:0000269|PubMed:35307651}.
Q9Y6M7	SLC4A7 BT NBC2 NBC2B NBC3 NBCn1 SBC2 SLC4A6	Sodium bicarbonate cotransporter 3 (Electroneutral Na/HCO(3) cotransporter) (Sodium bicarbonate cotransporter 2) (Sodium bicarbonate cotransporter 2b) (Bicarbonate transporter) (Solute carrier family 4 member 7)	SUBCELLULAR LOCATION: Basolateral cell membrane {ECO:0000250|UniProtKB:Q9R1N3}; Multi-pass membrane protein {ECO:0000255}. Apical cell membrane {ECO:0000250|UniProtKB:Q9R1N3}; Multi-pass membrane protein {ECO:0000255}. Cell projection, stereocilium {ECO:0000250|UniProtKB:Q9R1N3}. Cell membrane {ECO:0000269|PubMed:14578046, ECO:0000269|PubMed:29779931}; Multi-pass membrane protein {ECO:0000255}. Note=Localizes to the stereocilia of cochlear outer hair cells and to the lateral membrane of cochlear inner hair cells (By similarity). {ECO:0000250|UniProtKB:Q9R1N3}.; SUBCELLULAR LOCATION: [Isoform 6]: Cell membrane {ECO:0000269|PubMed:29779931}; Multi-pass membrane protein {ECO:0000255}.
Q9Y6N8	CDH10	Cadherin-10 (T2-cadherin)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.
A0PJK1	SLC5A10 SGLT5	Sodium/mannose cotransporter SLC5A10 (Sodium/glucose cotransporter 5) (Na(+)/glucose cotransporter 5) (Solute carrier family 5 member 10)	SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000250|UniProtKB:Q5SWY8}; Multi-pass membrane protein {ECO:0000255}.
A6ND01	IZUMO1R FOLR4 JUNO	Sperm-egg fusion protein Juno (Folate receptor 4) (Folate receptor delta) (FR-delta) (IZUMO1 receptor protein JUNO)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:30517645}; Lipid-anchor, GPI-anchor {ECO:0000250|UniProtKB:Q9EQF4}. Cell projection, microvillus membrane {ECO:0000269|PubMed:36070373}; Lipid-anchor, GPI-anchor {ECO:0000250|UniProtKB:Q9EQF4}. Note=GPI-anchored at the oolemma microvilli. {ECO:0000250|UniProtKB:Q9EQF4}.
A8MPY1	GABRR3	Gamma-aminobutyric acid receptor subunit rho-3 (GABA(A) receptor subunit rho-3) (GABAAR subunit rho-3) (GABA(C) receptor)	SUBCELLULAR LOCATION: Postsynaptic cell membrane; Multi-pass membrane protein {ECO:0000255}. Cell membrane; Multi-pass membrane protein {ECO:0000255}.
A8MYU2	KCNU1 KCNMA3 KCNMC1 SLO3	Potassium channel subfamily U member 1 (Calcium-activated potassium channel subunit alpha-3) (Calcium-activated potassium channel, subfamily M subunit alpha-3) (KCa5) (Slowpoke homolog 3)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:O54982}; Multi-pass membrane protein {ECO:0000255}. Cell projection, cilium, flagellum membrane {ECO:0000269|PubMed:24670955, ECO:0000269|PubMed:38267364}; Multi-pass membrane protein {ECO:0000255}.
B0I1T2	MYO1G HA2	Unconventional myosin-Ig [Cleaved into: Minor histocompatibility antigen HA-2 (mHag HA-2)]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19968988, ECO:0000269|PubMed:20071333}; Peripheral membrane protein {ECO:0000269|PubMed:19968988, ECO:0000269|PubMed:20071333}. Cell projection, phagocytic cup {ECO:0000250|UniProtKB:Q5SUA5}. Note=Recruited to Fc-gamma receptor (Fc-gamma-R) phagocytic cup. In T-cells, transiently accumulates in discrete areas at the plasma membrane of migrating cells or when membranes are deformed (By similarity). Localization at the membrane is not highly dependent on phosphatidylinositol 4,5-bisphosphate levels. Released from the membrane in the presence of ATP. May be enriched in peripheral processes, such as microvilli or ruffles. {ECO:0000250|UniProtKB:Q5SUA5, ECO:0000269|PubMed:20071333}.
O00144	FZD9 FZD3	Frizzled-9 (Fz-9) (hFz9) (FzE6) (CD antigen CD349)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q9R216}; Multi-pass membrane protein {ECO:0000255}. Note=Relocalizes DVL1 to the cell membrane leading to phosphorylation of DVL1 and AXIN1 relocalization to the cell membrane. {ECO:0000250|UniProtKB:Q8K4C8}.
O00241	SIRPB1	Signal-regulatory protein beta-1 (SIRP-beta-1) (CD172 antigen-like family member B) (CD antigen CD172b)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10604985}; Single-pass type I membrane protein {ECO:0000255}.
O00341	SLC1A7 EAAT5	Excitatory amino acid transporter 5 (Retinal glutamate transporter) (Solute carrier family 1 member 7)	SUBCELLULAR LOCATION: Photoreceptor inner segment membrane {ECO:0000250|UniProtKB:Q8JZR4}; Multi-pass membrane protein {ECO:0000255}. Synaptic cell membrane {ECO:0000250|UniProtKB:Q8JZR4}; Multi-pass membrane protein {ECO:0000255}. Note=Located in both cone and rod photoreceptor terminals and in axon terminals of rod bipolar cells. {ECO:0000250|UniProtKB:Q8JZR4}.
O00451	GFRA2 GDNFRB RETL2 TRNR2	GDNF family receptor alpha-2 (GDNF receptor alpha-2) (GDNFR-alpha-2) (GFR-alpha-2) (GDNF receptor beta) (GDNFR-beta) (Neurturin receptor alpha) (NRTNR-alpha) (NTNR-alpha) (RET ligand 2) (TGF-beta-related neurotrophic factor receptor 2)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:O08842}; Lipid-anchor, GPI-anchor {ECO:0000250|UniProtKB:O08842}.
O00501	CLDN5 AWAL TMVCF	Claudin-5 (Transmembrane protein deleted in VCFS) (TMDVCF)	SUBCELLULAR LOCATION: Cell junction, tight junction. Cell membrane; Multi-pass membrane protein.
O14764	GABRD	Gamma-aminobutyric acid receptor subunit delta (GABA(A) receptor subunit delta) (GABAAR subunit delta)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P18506}; Multi-pass membrane protein {ECO:0000269|PubMed:35355020}.
O14917	PCDH17 PCDH68 PCH68	Protocadherin-17 (Protocadherin-68)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.
